"key","name","owner","pic"
"399.l.831392.t.1","3Li Manning","Steve","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44c0ab7fa14966400bc703ea8de4c5494f3a48edfa616b43cfb87264142297aa.jpg"
"399.l.831392.t.2","A Team Has No Name","Matt","https://secure.gravatar.com/avatar/23fe6b3e9016dc589f9891c7249aeee8?d=https%3A%2F%2Fs.yimg.com%2Fdh%2Fap%2Ffantasy%2Fimg%2Fprofile_96.png&s=96&r=r"
"399.l.831392.t.3","Fútbol Americano","Richard","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29119912835_5e2e3ece8e.jpg"
"399.l.831392.t.4","Cobra Kai","David","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24929317579_936210fcd8.jpg"
"399.l.831392.t.5","Faux Logan","Faux","https://s.yimg.com/cv/apiv2/default/nfl/nfl_7_f.png"
"399.l.831392.t.7","SheLikesMenards","Logan","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/23204491987_db49fd.jpg"
"399.l.831392.t.8","ScandanavianHogs","jimmy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29574240379_dbc881.jpg"
"399.l.831392.t.9","Super Spreaders","Jarod","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43740098334_b47a16.jpg"
"399.l.831392.t.10","Off In Church","--hidden--","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24693329483_a47264f392.jpg"
"399.l.831392.t.11","Papa Ran","Randy","https://secure.gravatar.com/avatar/6ea16527c8ba0e25dae6e966c7ff7775?d=https%3A%2F%2Fs.yimg.com%2Fdh%2Fap%2Ffantasy%2Fimg%2Fprofile_96.png&s=96&r=r"
"399.l.831392.t.12","Pete's Meats","Pete","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43743942174_aa150d.jpg"
"399.l.831392.t.13","Corona incubators","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg"
